■ 역대 박스오피스 (통합전산망 집계 기준),,,,,,,,,
- 조회일: 2026-06-02,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,
▶ 검색조건 [    영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
144,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,540,977,500","4,720,172",713,"91,915",한국,한국,(주)쇼박스
145,파일럿,2024-07-31,"43,211,278,201","4,719,102","1,956","203,292",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
146,주토피아,2016-02-17,"37,147,956,842","4,711,015",735,"131,453",미국,미국,월트디즈니컴퍼니코리아(주)
147,엣지 오브 투모로우,2014-06-04,"38,786,998,201","4,706,213",801,"95,776",미국,미국,워너브러더스 코리아(주)
148,신세계,2013-02-21,"34,931,269,185","4,690,270",671,"91,865",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
149,신비한 동물사전,2016-11-16,"39,365,960,288","4,669,702","1,431","116,374",미국,"미국,영국",워너브러더스 코리아(주)
150,도가니,2011-09-22,"35,570,402,000","4,663,377",754,"88,251",한국,한국,(주)씨제이이엔엠
151,쿵푸 팬더,2008-06-05,"29,998,156,500","4,654,267",563,"79,901",미국,미국,씨제이엔터테인먼트
152,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
153,판도라,2016-12-07,"36,069,197,064","4,585,116","1,184","100,273",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
154,스파이더맨 3,2007-05-01,"29,453,324,000","4,582,342",802,"79,616",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
155,맘마미아!,2008-09-03,"29,693,828,850","4,579,143",451,"111,812",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
156,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511","113,938",한국,한국,(주)씨제이이엔엠
157,노량: 죽음의 바다,2023-12-20,"45,011,153,375","4,573,785","2,196","155,724",한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스"
